Doctor Name,Doctor Specialization,Hospital,Hospital Location,Contact Info,Doctor Experience (Years),Rating,Patient Count
Dr. Srinivas Kumar,Cardiologist,Secunderabad City Hospital,Secunderabad,917181241943,16,3.4,1558
Dr. Tejaswi Kumar,Cardiologist,Secunderabad City Hospital,Secunderabad,919831882064,35,3.2,914
Dr. Srinivas Naidu,Cardiologist,Hyderabad City Hospital,Hyderabad,916939042955,15,4.0,104
Dr. Kiran Kumar,Cardiologist,Vizianagaram Trust Hospital,Vizianagaram,918791232393,35,3.8,969
Dr. Mahesh Babu,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,919733616459,1,4.5,376
Dr. Rajesh Varma,Cardiologist,Kurnool Care Hospital,Kurnool,916667779376,14,4.9,739
Dr. Ramesh Raju,Cardiologist,Secunderabad Memorial Hospital,Secunderabad,916415393687,23,4.7,1286
Dr. Venkatesh Kumar,Cardiologist,Rajahmundry Medical Center,Rajahmundry,917973214822,35,3.2,1938
Dr. Ramesh Murthy,Cardiologist,Anantapur Care Hospital,Anantapur,917259191105,24,4.2,1492
Dr. Venkatesh Acharya,Cardiologist,Secunderabad General Hospital,Secunderabad,916978815630,19,5.0,1801
Dr. Suresh Raju,Cardiologist,Hyderabad Trust Hospital,Hyderabad,917193887545,30,4.3,797
Dr. Harish Goud,Cardiologist,Hyderabad General Hospital,Hyderabad,916899825838,18,4.4,1449
Dr. Bhavani Acharya,Cardiologist,Secunderabad Super Speciality Hospital,Secunderabad,916735034881,35,4.5,384
Dr. Lakshmi Varma,Cardiologist,Ongole Institute of Medical Sciences,Ongole,919974524834,15,4.4,1776
Dr. Ravi Krishna,Cardiologist,Anantapur Institute of Medical Sciences,Anantapur,916137869475,21,3.8,185
Dr. Madhavi Prakash,Cardiologist,Ongole Apollo Hospital,Ongole,919083418319,21,3.4,1072
Dr. Soujanya Yadav,Cardiologist,Visakhapatnam Global Hospital,Visakhapatnam,916613628803,17,3.3,1575
Dr. Deepika Varma,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,919208399878,28,4.8,867
Dr. Ravi Chowdary,Cardiologist,Vijayawada Trust Hospital,Vijayawada,918188398760,32,3.2,146
Dr. Prasad Acharya,Cardiologist,Secunderabad Medical Center,Secunderabad,916687117441,28,4.2,838
Dr. Bhavani Yadav,Cardiologist,Ongole Medical Center,Ongole,918272528809,17,4.9,1812
Dr. Tejaswi Kumar,Cardiologist,Hyderabad Trust Hospital,Hyderabad,916491995979,35,4.5,1624
Dr. Suresh Varma,Cardiologist,Vijayawada General Hospital,Vijayawada,917867302554,11,3.9,1528
Dr. Swathi Babu,Cardiologist,Rajahmundry Apollo Hospital,Rajahmundry,916767303988,33,4.8,1832
Dr. Soujanya Murthy,Cardiologist,Rajahmundry Super Speciality Hospital,Rajahmundry,918615507143,13,3.3,1611
Dr. Deepika Babu,Cardiologist,Hyderabad Global Hospital,Hyderabad,919961824197,34,4.8,1276
Dr. Anusha Reddy,Cardiologist,Tirupati City Hospital,Tirupati,916480468219,24,4.8,1753
Dr. Ravi Reddy,Cardiologist,Rajahmundry Medical Center,Rajahmundry,917034535593,6,3.2,1045
Dr. Deepika Babu,Cardiologist,Kakinada Super Speciality Hospital,Kakinada,916540137296,9,4.3,1989
Dr. Naresh Varma,Cardiologist,Hyderabad Trust Hospital,Hyderabad,918266341635,28,4.9,1952
Dr. Sirisha Rao,Cardiologist,Hyderabad Trust Hospital,Hyderabad,919062092518,20,3.8,1425
Dr. Sridevi Prakash,Cardiologist,Vijayawada General Hospital,Vijayawada,918222971316,29,3.2,510
Dr. Rajesh Reddy,Cardiologist,Tirupati City Hospital,Tirupati,918526766690,15,4.2,64
Dr. Sirisha Acharya,Cardiologist,Ongole Trust Hospital,Ongole,916252860896,15,3.1,114
Dr. Ramesh Murthy,Cardiologist,Vijayawada Medical Center,Vijayawada,917022222125,18,4.3,488
Dr. Prasad Kumar,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,919789806435,31,3.5,1018
